2.0659,0.77919
2.3684,0.91597
2.54,0.90538
2.5421,0.90566
2.5491,0.93899
2.7867,0.96685
2.9117,0.96437
3.0356,0.91446
3.1147,0.93934
3.1582,0.96075
3.3276,0.89837
3.3793,0.9121
3.4122,0.94238
3.4216,0.96625
3.5316,1.0527
3.6393,1.0144
3.6733,0.95969
3.9256,0.96854
4.0499,1.0766
4.2483,1.1455
4.344,1.0341
4.3827,1.007
4.4231,0.96684
4.6102,1.0896
4.6881,1.0634
4.9777,1.1237
5.036,1.0323
5.0685,1.0874
5.4161,1.0703
5.4396,1.1606
5.4563,1.0778
5.5698,1.107
5.6016,1.0972
5.6878,1.1649
5.7216,1.1412
5.8539,1.0844
6.1978,1.1252
6.3511,1.1168
6.4797,1.1971
6.7384,1.2069
6.8638,1.1251
7.0223,1.1236
7.0782,1.2133
7.1514,1.2523
7.4664,1.2497
7.5974,1.18
7.7441,1.1897
7.773,1.303
7.8265,1.2601
7.9306,1.2562
